peak_day_frac,retention_at_end,half_life_frac,slope_post_peak,slope_total,half_ratio,r_squared,volatility,mean_pct_change,crash_count,rise_length_frac,log_growth_multiple,log_peak_tvl,data_points,slug,label,name,category,price_peak_day_frac,price_retention_at_end,slope_price,price_volatility,price_crash_count,volume_decay_ratio,corr_price_tvl,divergence_score,price_leads_tvl
0.4835164835164835,0.1796229953061834,0.0416666666666666,-0.0026785402697018,-0.0026945156367989,0.341348590624517,0.0707238032324749,3029.5384604070377,321.1593581847528,2,0.4835164835164835,13.126085784642026,17.954397545313903,91,0.exchange,alive,0.exchange,Dexs,0.0,0.9739499839941695,0.0004427089942799537,0.04884465038620079,0,2.96965642129981,0.7623051490092903,0.1903577839423275,0.2972011753620053
0.3793103448275862,0.0536743009695096,0.0181818181818181,-0.0017991254505645,-0.0132968156757141,0.0838336892612943,0.6774048072268026,0.1370693672729264,0.0002814966382196,1,0.3793103448275862,0.7829643877347803,8.870382066070137,87,88mph,alive,88mph,Lending,0.14285714285714285,0.9072924754365934,0.000514263649208816,0.06288685923723622,1,83.87707703694097,0.9097542359327422,0.11278835005820528,0.521420889994994
0.7032967032967034,0.86744152021652,0.9642857142857144,-0.0062489397092455,0.0104562854186027,2.2203249884792564,0.7521640165424157,65270394.164951086,6918647.965953906,0,0.7032967032967034,21.329383708083213,22.022530888370422,91,aave-v2,alive,Aave V2,Lending,0.989010989010989,0.9999999999996253,0.001458468959450141,0.05847506473601282,0,0.9520776288679778,0.9717179496645646,0.06562333769688312,0.7395887512155078
0.5604395604395604,0.4157284382087413,0.2439024390243902,-0.0068324114176511,0.0012464872381724,1.1247095263723914,0.0437288301679447,0.0994948515407153,0.0030609182942291,1,0.5604395604395604,1.1138088944716396,12.597641648446226,91,acryptos,alive,ACryptoS,Liquidity manager,0.0,0.8769832587600064,-0.0011465422101994802,0.024269659706903316,0,0.8257595582269411,0.057773139423327215,0.37512500247059843,-0.33626935567046246
0.1868131868131868,0.0026461248970951,0.0133333333333333,-0.0012362796303885,-0.0009526012750727,0.0143902614285413,0.0297181052383891,432.4805578223563,46.00903583085028,3,0.1868131868131868,8.132177560175482,10.839953391346915,91,angle,alive,Angle,CDP,0.7032967032967034,0.9072491329531792,0.0008972408026453258,0.04745043816579728,0,3.465030760473701,0.09944745865159134,0.358876866446255,0.3246199626973349
0.2555555555555555,0.1817421875230226,0.4558823529411764,-0.0132727080736393,-0.0093765486971002,0.4434901935289866,0.8141898858806709,0.0719232555266391,-0.0120118290347813,0,0.2555555555555555,0.9022940375655868,13.83337012226504,90,ankr,alive,Ankr,Liquid Staking,0.06593406593406594,0.8114550571116024,0.00018990185864349287,0.04366736759983664,0,0.7541533780270406,0.7675896348351374,0.2177875625703069,0.8226477043441006
0.5604395604395604,0.45908165154601,0.926829268292683,-0.0114084488614005,-0.0022490279595226,0.9421113971749622,0.2531525552129527,0.0565977364106383,-0.006017841296816,0,0.5604395604395604,0.7390332953737145,10.38612972782783,91,antimatter,alive,Antimatter,Options,0.9560439560439561,0.9726111961663928,0.0050433171250484155,0.8390148276270492,14,3.138389825617019,0.6668672694087806,0.20991804521125926,0.6993138446245729
0.7032967032967034,0.753117860669648,0.2857142857142857,-0.0044646344683494,0.0075079567692616,2.311347874560739,0.6705936300941627,184854.3485985387,19594.56314376473,1,0.7032967032967034,3.905000316860625,14.609704161853193,91,aura,alive,Aura,Yield,0.01098901098901099,0.8359965280637872,-0.000822122086171838,0.053976686915765355,0,1.0468033036590485,0.1490861669307223,0.3800786105875535,0.47466177598035153
0.8241758241758241,0.9473062788553662,0.9411764705882352,-0.0106686062040508,0.0084701525912812,2.063011824245305,0.9086154856610456,0.0828015833125845,0.0223783290882838,0,0.8241758241758241,1.909529526233022,15.825856544313924,91,autofarm,alive,Autofarm,Yield Aggregator,0.0,0.8695806712431102,-0.000593814441990259,0.02963968736073233,0,3.67064208997172,0.4969214780951561,0.2311719350147628,0.250611341985453
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91,avalaunch,dead,Avalaunch,Dexs,0.06593406593406594,0.8810052977499511,0.0007517026644758428,0.04670466441417102,0,1.4048419546760647,0.0,0.5692334878232693,
0.4505494505494505,0.6422284711393544,0.8627450980392157,-0.0029770032231859,-0.0008063666516238,0.8627660070011298,0.0312201262328813,814772.6994588135,86365.72639081345,1,0.4505494505494505,1.059270079236869,16.370779751920313,91,beefy,alive,Beefy,Yield Aggregator,0.06593406593406594,0.7068039998948866,-0.000723877887892731,0.0414970137919493,0,0.7029750484947315,-0.18924419207446777,0.41154064768668586,-0.49925651407478455
0.989010989010989,1.0,0.5,0.0,0.0027084412549258,1.2077250758436784,0.1531679649165999,462479.4318098219,49022.76634240536,1,0.989010989010989,16.88168691948102,17.574834076741467,91,benqi-lending,alive,Benqi Lending,Lending,0.8241758241758241,0.8467948891778568,0.0007034207608575201,0.04427295474733993,0,0.6840693892721605,0.972428281044507,0.08247243172572621,0.48631171961032765
0.8571428571428571,0.6522682226652713,0.9285714285714286,-0.0108870157894351,0.0059325375727222,1.7204162841887018,0.575554751864803,0.6743324371833788,0.0818215558134065,1,0.8571428571428571,1.6791022902613668,12.049641033019318,91,betswirl,dead,BetSwirl,Prediction Market,0.7701149425287356,0.49266554584419286,0.0014203267840673408,0.3782510070868923,7,2.1844636071941688,0.6290520187352993,0.23446375619093643,-0.6471250586399245
