slug,peak_tvl,current_tvl,drawdown_from_peak,tvl_30d_change,tvl_90d_change,volatility,lifespan_days,consecutive_decline_days,data_points,label,name,category,avax_only
atlantis-loans,16556.0,2774.0,0.832447451075139,-0.003590664272890485,-0.1557651353818071,0.48301466962808,402,111,362,dead,Atlantis Loans,Lending,False
stackfi,4302.0,2781.0,0.35355648535564854,-0.3390354003326206,-0.3390354003326206,0.14074459082489776,29,19,31,dead,StackFi,Lending,False
soulswap,40530.0,0.0,1.0,0.0,0.0,1.5094639518688402,1225,245,1225,dead,SoulSwap,Dexs,False
2pi-network,0.0,0.0,0.0,0.0,0.0,0.0,1051,0,1045,dead,2Pi Network,Yield,False
fwx-derivatives,416126.0,1651.0,0.9960324517093381,-0.6789739603575593,-0.48615863141524107,0.8985881068545408,772,358,774,dead,FWX Derivatives,Derivatives,False
archly-v2,1141.0,94.0,0.9176161262050833,-0.08653846153846154,-0.15178571428571427,0.9055147235165127,728,301,728,dead,Archly V2,Dexs,False
whaleswap,10.0,1.0,0.9,0.0,-0.3333333333333333,0.5289398967706878,1154,65,1155,dead,WhaleSwap,Dexs,False
ferdyflip,273936.0,1155.0,0.9957836867005432,1155.0,1155.0,1.1499244936049906,984,299,986,dead,FerdyFlip,Luck Games,False
symphony-finance,11848.0,352.0,0.9702903443619176,-0.6154684095860566,-0.5451030927835051,1.484282821152739,1003,472,1002,dead,Symphony Finance,Dexs,False
kassandra-dao,667166.0,658.0,0.9990137387097064,-0.22470588235294117,-0.40415913200723325,1.5853025442878717,1481,771,1480,dead,Kassandra DAO,Indexes,False
kayak-v2,56190.0,788.0,0.985976152340274,-0.2626168224299065,-0.4098728496634256,2.1494528872972842,603,306,605,dead,Kayak V2,Dexs,False
omni-exchange-flux,893.0,12.0,0.986562150055991,-0.2777777777777778,-0.4090909090909091,1.6179829980187987,223,64,225,dead,Omni Exchange Flux,Dexs,False
steadefi,721344.0,3.0,0.9999958410966197,-0.2,-0.3333333333333333,3.342734035589958,1049,263,1050,dead,Steadefi,Leveraged Farming,False
defi-yield-protocol,1098212.0,0.0,1.0,0.0,0.0,3.918389256247313,1643,173,1638,dead,Defi Yield Protocol,Yield,False
vaultlayer,0.0,0.0,0.0,0.0,0.0,0.0,252,0,254,dead,VaultLayer,Liquid Staking,False
deficurrent,56754.0,137.0,0.9975860732283187,0.014705882352941176,0.022222222222222223,1.3733413113448354,460,68,460,dead,DefiCurrent,Yield Aggregator,False
augmented-finance,66420.0,0.0,1.0,0.0,0.0,0.6934353819302412,882,37,551,dead,Augmented Finance,Lending,False
