peak_day_frac,retention_at_end,half_life_frac,slope_post_peak,slope_total,half_ratio,r_squared,volatility,mean_pct_change,crash_count,rise_length_frac,log_growth_multiple,log_peak_tvl,data_points,slug,label,name,category
0.4835164835164835,0.17962299530618347,0.041666666666666664,-0.002678540269701841,-0.0026945156367989827,0.341348590624517,0.0707238032324749,3029.5384604070377,321.1593581847528,2,0.4835164835164835,13.126085784642026,17.954397545313903,91,0.exchange,alive,0.exchange,Dexs
0.23076923076923078,0.1855599025141098,0.5352112676056338,-0.0113205076332402,-0.005285223557358609,0.578369461229864,0.3306173972330758,15297.935130014324,1621.5686261627754,0,0.23076923076923078,11.733962799766857,12.427105971885023,91,0x-nodes,dead,0x NODES,Yield Aggregator
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91,2pi-network,dead,2Pi Network,Yield
0.5494505494505495,0.8717958779363841,0.9761904761904762,-0.0028152733934086785,0.003773182378693599,1.1822837173209668,0.3351466826923626,0.08226914393055725,0.018104038781437237,0,0.5494505494505495,1.711789701443847,13.859399205493851,91,40-acres,alive,40 Acres,Lending
0.3793103448275862,0.05367430096950963,0.01818181818181818,-0.0017991254505645346,-0.01329681567571413,0.08383368926129435,0.6774048072268026,0.1370693672729264,0.00028149663821964494,1,0.3793103448275862,0.7829643877347803,8.870382066070137,87,88mph,alive,88mph,Lending
0.7032967032967034,0.86744152021652,0.9642857142857143,-0.006248939709245529,0.010456285418602768,2.2203249884792564,0.7521640165424157,65270394.164951086,6918647.965953906,0,0.7032967032967034,21.329383708083213,22.022530888370426,91,aave-v2,alive,Aave V2,Lending
0.967032967032967,0.917591748151331,0.75,-0.04120412589503364,0.012724223237391773,5.831148121334357,0.6599527354657665,57027.64936927847,6045.232144480335,1,0.967032967032967,20.37104043694551,21.06418761679434,91,aave-v3,alive,Aave V3,Lending
0.989010989010989,1.0,0.5,0.0,0.006555144645776414,2.589655953668817,0.7189303960101235,0.08766875047438982,0.024008467822779773,0,0.989010989010989,1.9714134311838636,15.655889224366785,91,abacus,alive,Abacus,Governance Incentives
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,91,aboard-exchange,dead,Aboard Exchange,Derivatives
0.9444444444444444,0.9817394396605921,0.8333333333333334,0.003521549213969899,0.011273541867224304,4.0459754289146375,0.9721951698307268,2.18810518861144,0.2757028976451917,0,0.9444444444444444,6.150646280611757,20.13957616728594,90,abracadabra-spell,alive,Abracadabra Spell,CDP
0.5604395604395604,0.41572843820874134,0.24390243902439024,-0.00683241141765114,0.0012464872381724949,1.1247095263723914,0.04372883016794471,0.09949485154071536,0.0030609182942291486,1,0.5604395604395604,1.1138088944716396,12.597641648446226,91,acryptos,alive,ACryptoS,Liquidity manager
0.06593406593406594,2.6891841015435917e-06,0.03488372093023256,-0.004785235494689682,-0.006093259177844051,0.03333931291864909,0.4790143054315089,0.4519334483399402,0.002617403040814138,10,0.06593406593406594,0.7331871191137158,14.43571116860483,91,agarthadao,dead,AgarthaDAO,Reserve Currency
0.02197802197802198,0.84375,0.9888888888888889,-0.0019018434748771828,-0.0018706741093994666,0.8816315675420106,0.5791419290097948,0.02973069944951507,-0.0005787955304442584,0,0.02197802197802198,0.7293949709522863,5.081404364984463,91,ajna-v2,alive,Ajna V2,Lending
0.2087912087912088,0.03161582635266846,0.0410958904109589,-0.0062854062562069995,-0.003575610420474179,0.24033570234506432,0.35973136428415464,0.22064499501692678,0.004511600753590408,2,0.2087912087912088,2.165539576543266,12.153784119221482,91,alligator,dead,Alligator,Dexs
0.0,0.0008142719668369235,0.010869565217391304,-0.0007160913671830912,-0.0007160913671830912,0.035482321313684055,0.03261011818576256,0.10509425148477662,-0.011305624659416333,1,0.0,0.6931379275978408,10.897424276099398,91,amogus-dao,dead,Amogus DAO,Reserve Currency
0.46153846153846156,0.0004056734409854748,0.12,-0.014439151236330421,-0.007977724852372635,0.13416788885580366,0.33779331971264887,0.18562727073146543,-0.03625195819441052,8,0.46153846153846156,1.6520924104663375,19.16253096107672,91,anchor,dead,Anchor,Lending
0.18681318681318682,0.002646124897095143,0.013333333333333334,-0.0012362796303885136,-0.0009526012750727839,0.014390261428541369,0.02971810523838919,432.4805578223563,46.00903583085028,3,0.18681318681318682,8.132177560175482,10.839953391346915,91,angle,alive,Angle,CDP
0.25555555555555554,0.18174218752302265,0.45588235294117646,-0.013272708073639368,-0.00937654869710022,0.44349019352898666,0.8141898858806709,0.07192325552663913,-0.01201182903478131,0,0.25555555555555554,0.9022940375655867,13.83337012226504,90,ankr,alive,Ankr,Liquid Staking
0.6483516483516484,0.6981645139360979,0.9696969696969697,-0.0051961276069718435,0.01005892333292615,7.762862661296951,0.5914205195650156,0.9508929234823362,0.09776379122897973,0,0.6483516483516484,2.411760582944196,9.373224234877663,91,ante-finance,alive,Ante Finance,Insurance
0.6153846153846154,0.5210860041817622,0.9722222222222222,-0.007182793925897888,0.003758949020975201,1.478767376711433,0.5143380873056498,0.32930715437597174,0.04625500976590119,0,0.6153846153846154,2.8974151963867834,13.505805074099696,91,antfarm-finance,alive,Antfarm finance,Liquidity manager
0.5604395604395604,0.45908165154601,0.926829268292683,-0.011408448861400536,-0.0022490279595226057,0.9421113971749622,0.25315255521295277,0.0565977364106383,-0.00601784129681604,0,0.5604395604395604,0.7390332953737145,10.38612972782783,91,antimatter,alive,Antimatter,Options
