name,category,tvl_usd,num_chains,avax_only,slug,label
Envelop,NftFi,3629.568649862508,7,False,envelop,dead
The Ennead Farm,Yield,3515.0861973795336,2,False,the-ennead-farm,dead
Leech Protocol,Yield Aggregator,3501.5349403954774,3,False,leech-protocol,dead
UniFi,Dexs,3422.142237228837,10,False,unifi,dead
CryptoYieldFocus,Farm,3377.753934717836,1,True,cryptoyieldfocus,dead
Oh Finance,Yield,3032.719759596831,4,False,oh-finance,dead
GoldLink,Leveraged Farming,3031.23998253702,2,False,goldlink,dead
Atlantis Loans,Lending,2902.308326751569,4,False,atlantis-loans,dead
StackFi,Lending,2801.3344768378324,2,False,stackfi,dead
SoulSwap,Dexs,2622.3193057617714,2,False,soulswap,dead
Blizzard,Yield,2535.9890248215,1,True,blizzard,dead
2Pi Network,Yield,2390.645429893856,4,False,2pi-network,dead
Glacier Exchange V3,Dexs,2290.247661977955,1,True,glacier-exchange-v3,dead
FWX Derivatives,Derivatives,2238.418352180334,3,False,fwx-derivatives,dead
Subzero ZSwap,Dexs,2093.9485485083915,1,True,subzero-zswap,dead
SpiritDAO,Reserve Currency,2003.927571307616,1,True,spiritdao,dead
Archly V2,Dexs,1957.9776351609348,22,False,archly-v2,dead
The Seed Farm,Yield,1838.7940897253964,1,True,the-seed-farm,dead
WhaleSwap,Dexs,1568.0957932845477,7,False,whaleswap,dead
Ara Finance,Reserve Currency,1482.6808846521478,1,True,ara-finance,dead
printyfinance,Dexs,1281.3931590914524,1,True,printyfinance,dead
MintSwap,Farm,1158.8953884093328,1,True,mintswap,dead
FerdyFlip,Luck Games,1155.323341548925,3,False,ferdyflip,dead
Symphony Finance,Dexs,853.5201727636577,3,False,symphony-finance,dead
Sierra,Reserve Currency,842.252923323465,1,True,sierra,dead
Kassandra DAO,Indexes,817.9173257460975,2,False,kassandra-dao,dead
PirateDAO,Reserve Currency,796.6251838230373,1,True,piratedao,dead
Kayak V2,Dexs,788.8841374074888,2,False,kayak-v2,dead
Swift Finance,Yield,765.7039420269725,1,True,swift-finance,dead
Omni Exchange Flux,Dexs,690.5783657903497,7,False,omni-exchange-flux,dead
North Pole,CDP,689.3610021477909,1,True,north-pole,dead
Hot Takes,SoFi,563.5746666779265,1,True,hot-takes,dead
Steadefi,Leveraged Farming,544.6862343048522,2,False,steadefi,dead
Defi Yield Protocol,Yield,515.7205679831766,3,False,defi-yield-protocol,dead
VaultLayer,Liquid Staking,479.1705438068944,9,False,vaultlayer,dead
DefiCurrent,Yield Aggregator,423.7115008586934,3,False,deficurrent,dead
Grave Finance,Algo-Stables,383.30285733971664,1,True,grave-finance,dead
onAVAX,Dexs,331.52330139434974,1,True,onavax,dead
Augmented Finance,Lending,326.65169644014406,4,False,augmented-finance,dead
Spicy DAO,Reserve Currency,270.7656155124651,1,True,spicy-dao,dead
Return Finance,Yield Aggregator,256.72394464333433,4,False,return-finance,dead
Monocerus,Dexs,201.23446457730452,2,False,monocerus,dead
Incognito,Dexs,137.11909395807544,5,False,incognito,dead
Avaware,Yield,133.73805841975928,1,True,avaware,dead
Aboard Exchange,Derivatives,120.93422545635288,8,False,aboard-exchange,dead
FlashLiquidity,Dexs,89.58999976466035,5,False,flashliquidity,dead
SecondSwap,OTC Marketplace,86.00215798511225,3,False,secondswap,dead
The Dragon's Lair,Yield,73.44836880040911,1,True,the-dragons-lair,dead
ApexSwap,Dexs,69.73821669376733,1,True,apexswap,dead
Life DAO,Reserve Currency,67.38702541355721,1,True,life-dao,dead
Gondola Finance,Dexs,66.02914332990972,1,True,gondola-finance,dead
Tarina,Dexs,51.45983524342172,1,True,tarina,dead
Amogus DAO,Reserve Currency,44.33225962549005,1,True,amogus-dao,dead
AvaViking,Yield,41.58082166669896,1,True,avaviking,dead
Securo Finance,Indexes,34.0,4,False,securo-finance,dead
TreeHouse Finance,Yield,29.06203942303773,1,True,treehouse-finance,dead
RubyDex,Derivatives,24.13359619371612,10,False,rubydex,dead
Genius,Yield,22.21410473647097,5,False,genius,dead
Butterfly Finance,Farm,17.059378259994137,1,True,butterfly-finance,dead
Reservoir,Dexs,16.01314342736549,1,True,reservoir,dead
NoahArkDAO,Reserve Currency,15.53803576514076,1,True,noaharkdao,dead
Coup Farm,Yield,15.15290954025074,1,True,coup-farm,dead
ReHold V2,Yield,14.374819886623175,9,False,rehold-v2,dead
Crypto Lottery,Luck Games,10.569773320622629,6,False,crypto-lottery,dead
FutureSwap,Derivatives,9.748698779786489,3,False,futureswap,dead
Papa DAO,Reserve Currency,7.20208788232565,1,True,papa-dao,dead
Tornadao,Reserve Currency,6.694802850296311,1,True,tornadao,dead
Crocodile Finance,Algo-Stables,4.865904569002782,1,True,crocodile-finance,dead
