特征,重要性
log_peak_tvl,0.11617989651028
retention_at_end,0.10969762368193235
half_ratio,0.10940563138337621
half_life_frac,0.09300216705955677
log_growth_multiple,0.07131045503724327
slope_total,0.0712906805528066
mean_pct_change,0.06444575029590352
peak_day_frac,0.06395419131579276
rise_length_frac,0.06262032812233508
volatility,0.06112701198928577
slope_post_peak,0.060673529950660214
r_squared,0.06036613712156789
data_points,0.031519355479708536
crash_count,0.024407241499551122
