name,category,tvl_usd,num_chains,avax_only,slug
Meow Miner,Ponzi,0.03248968911831385,1,True,meow-miner
Spherium,Cross Chain Bridge,0.025272856360847154,13,False,spherium
Swing DAO,Reserve Currency,0.02068893345117003,1,True,swing-dao
Cables Finance,Dexs,2.418160918597672e-05,2,False,cables-finance
ValhallaDAO,Reserve Currency,1.7208266877309225e-05,1,True,valhalladao
ZeroShift,Reserve Currency,1.623399170646282e-11,1,True,zeroshift
Piggybank DAO,Reserve Currency,6.680694210000001e-16,1,True,piggybank-dao
TokensFarm,Yield,0.0,7,False,tokensfarm
Grape Finance,Algo-Stables,0.0,1,True,grape-finance
Cesta Finance,Reserve Currency,0.0,1,True,cesta-finance
Snowtomb,Algo-Stables,0.0,1,True,snowtomb
IceCream Finance,Algo-Stables,0.0,1,True,icecream-finance
Ripae,Algo-Stables,0.0,7,False,ripae
ProjectX,Yield,0.0,1,True,projectx
Thor Financial,Yield,0.0,1,True,thor-financial
VaporFi,Yield,0.0,1,True,vaporfi
Arable Protocol,Synthetics,0.0,1,True,arable-protocol
Volta DAO,Reserve Currency,0.0,2,False,volta-dao
Snowyowl,Algo-Stables,0.0,1,True,snowyowl
Echidna Finance,Yield,0.0,1,True,echidna-finance
Polar Bear Finance,Algo-Stables,0.0,1,True,polar-bear-finance
Yeti Finance,CDP,0.0,1,True,yeti-finance
Printer Financial,Bridge,0.0,6,False,printer-financial
RenVM,Bridge,0.0,9,False,renvm
0x NODES,Yield Aggregator,0.0,6,False,0x-nodes
SteakHut,Farm,0.0,1,True,steakhut
ZeroSwap,Dexs,0.0,4,False,zeroswap
Frozen Walrus Finance,Algo-Stables,0.0,1,True,frozen-walrus-finance
BetSwirl,Prediction Market,0.0,6,False,betswirl
CryptoBlades,Gaming,0.0,7,False,cryptoblades
Wolf Safe Poor People,Yield,0.0,4,False,wolf-safe-poor-people
Champion Finance,Algo-Stables,0.0,1,True,champion-finance
EMDX,Derivatives,0.0,1,True,emdx
Freebie Life Finance,Yield Lottery,0.0,1,True,freebie-life-finance
Subzero+,Reserve Currency,0.0,1,True,subzero+
Dypius,Yield,0.0,3,False,dypius
Vertex Perps,Derivatives,0.0,7,False,vertex-perps
Arrow Markets,Options,0.0,1,True,arrow-markets
Cleopatra DAO,Yield Aggregator,0.0,1,True,cleopatra-dao
Kandyland Finance,Reserve Currency,0.0,1,True,kandyland-finance
Hermes Finance,Algo-Stables,0.0,1,True,hermes-finance
Crabada,Gaming,0.0,1,True,crabada
Anchor,Lending,0.0,2,False,anchor
Zookeeper,Yield,0.0,2,False,zookeeper
O3 Swap,Cross Chain Bridge,0.0,14,False,o3-swap
Avalaunch,Dexs,0.0,1,True,avalaunch
Volta Club,Reserve Currency,0.0,2,False,volta-club
Ramp,CDP,0.0,4,False,ramp
SmartCoin,Yield,0.0,1,True,smartcoin
Snowbank,Reserve Currency,0.0,1,True,snowbank
Blizz Finance,Lending,0.0,1,True,blizz-finance
EverestDAO,DAO Service Provider,0.0,1,True,everestdao
Fortress,Reserve Currency,0.0,1,True,fortress
R U Generous,Reserve Currency,0.0,1,True,r-u-generous
VikingsFinance,Reserve Currency,0.0,1,True,vikingsfinance
GalaxyGoogle DAO,Reserve Currency,0.0,2,False,galaxygoogle-dao
HoneyFarm,Yield,0.0,2,False,honeyfarm
MidasDAO,Reserve Currency,0.0,1,True,midasdao
O2 DAO,Reserve Currency,0.0,1,True,o2-dao
Ice DAO,Reserve Currency,0.0,1,True,ice-dao
RagnarokDAO,Reserve Currency,0.0,1,True,ragnarokdao
Vortex DAO,Reserve Currency,0.0,1,True,vortex-dao
CakeDAO,Reserve Currency,0.0,1,True,cakedao
Kitty Finance,Algo-Stables,0.0,2,False,kitty-finance
SnowCatDAO,Reserve Currency,0.0,1,True,snowcatdao
AgarthaDAO,Reserve Currency,0.0,1,True,agarthadao
Louverture,Yield,0.0,1,True,louverture
Piggy Finance,Yield,0.0,1,True,piggy-finance
MarginSwap,Dexs,0.0,4,False,marginswap
Chikn Farm,Services,0.0,1,True,chikn-farm
Karma DAO,Reserve Currency,0.0,1,True,karma-dao
Poolz Vesting,Launchpad,0.0,11,False,poolz-vesting
