name,category,tvl_usd,num_chains,avax_only,slug
KyberSwap Elastic,Dexs,118495.17098592907,11,False,kyberswap-elastic
Hyphen,Bridge,100361.00731605997,6,False,hyphen
Domani Protocol,Indexes,92632.87760844931,3,False,domani-protocol
xDollar,CDP,90959.24301234906,5,False,xdollar
Olive Cash,Yield,88887.16712831978,3,False,olive-cash
Revest Finance,NFT Lending,84907.49540036009,6,False,revest-finance
Penguin Finance,Yield,83835.61581404421,1,True,penguin-finance
Defrost,CDP,81194.4452897324,1,True,defrost
Hubble Exchange,Derivatives,78174.96242874769,1,True,hubble-exchange
StoneDefi,Yield Aggregator,70362.5873794079,4,False,stonedefi
Nereus Finance,Lending,69906.68773555508,1,True,nereus-finance
TradeOgre,CEX,66947.10586008351,6,False,tradeogre
Token Mill,Launchpad,64222.777577191584,2,False,token-mill
Hotbit,CEX,63016.26714865709,12,False,hotbit
YieldWolf,Yield,62236.73132328156,7,False,yieldwolf
Bitbond Sales,Launchpad,62056.382781629785,7,False,bitbond-sales
SteakHut Liquidity,Liquidity manager,61120.984153242636,2,False,steakhut-liquidity
OrderNChaos,Algo-Stables,60561.22521166142,5,False,ordernchaos
GOLDSTATION DEX V3,Dexs,59753.97031089614,1,True,goldstation-dex-v3
Complus Network,Dexs,59606.86142179919,4,False,complus-network
Oddz,Options,59187.07788393579,2,False,oddz
HunnySwap,Dexs,58357.12306246721,1,True,hunnyswap
CrossChain Bridge,Cross Chain Bridge,55382.12725141237,5,False,crosschain-bridge
Definitive Yield Vaults,Yield,51961.50049403968,6,False,definitive-yield-vaults
Frost Finance,Yield,51726.89397210548,1,True,frost-finance
Stable Jack V2,Yield,48814.09547274661,3,False,stable-jack-v2
Flair Dex,Dexs,48761.33503893331,1,True,flair-dex
Lydia,Dexs,47543.65383435842,1,True,lydia
Platypus Finance,Dexs,45788.56830237808,1,True,platypus-finance
CougarSwap,Yield,42613.588885870486,8,False,cougarswap
HurricaneSwap,Dexs,38853.37863906148,1,True,hurricaneswap
ChainGPT,Launchpad,38782.709102897774,10,False,chaingpt
Risk Harbor,Insurance,38751.77918839415,9,False,risk-harbor
Axial,Dexs,37082.68866858547,1,True,axial
BXH,Dexs,36929.600189744364,5,False,bxh
HedgeFarm,Yield,36360.84775581577,1,True,hedgefarm
EulerDebt,Secondary Debt Markets,36150.47574611403,5,False,eulerdebt
Altitude,Cross Chain Bridge,35435.55755901091,9,False,altitude
WOWswap,Dexs,35222.72784695939,8,False,wowswap
Poolside,Dexs,34953.96322513978,4,False,poolside
DotOracle,Bridge,34651.020485014466,5,False,dotoracle
0.exchange,Dexs,34319.633082868626,3,False,0.exchange
Button Wrappers,CDP,33873.14330593075,4,False,button-wrappers
EmiSwap,Dexs,33547.83805005922,7,False,emiswap
DexPad,Launchpad,33173.74440125058,4,False,dexpad
KEWL EXCHANGE,Dexs,32284.667473584865,6,False,kewl-exchange
Tranche Finance,Yield,32118.615421460407,4,False,tranche-finance
Joe Stek,Farm,32006.079186737956,1,True,joe-stek
Kalmy App,Yield,31998.38636459183,3,False,kalmy-app
PyreSwap,Dexs,31416.908118789754,3,False,pyreswap
Fractal Protocol,Yield,31368.10654972082,4,False,fractal-protocol
Excellion Finance,Risk Curators,29711.560372508608,1,True,excellion-finance
Everclear,Cross Chain Bridge,27686.942776596316,22,False,everclear
Mushrooms Finance,Yield Aggregator,27608.906996568625,5,False,mushrooms-finance
Grim Finance,Yield,27121.688576349694,6,False,grim-finance
Arena Launch,Launchpad,26857.721827368314,1,True,arena-launch
Omni Exchange V3,Dexs,25711.39717744724,7,False,omni-exchange-v3
Canary,Dexs,25615.78092411902,2,False,canary
Ulysses,Bridge,25134.78322823849,12,False,ulysses
Swapsicle V1,Dexs,25001.893189385053,8,False,swapsicle-v1
HakuSwap,Dexs,24919.934604434922,1,True,hakuswap
Interport Finance,Cross Chain Bridge,24903.304722914516,18,False,interport-finance
CreateMyToken,Launchpad,24298.160993156085,8,False,createmytoken
Vector Finance,Yield,22397.357849619384,1,True,vector-finance
Growth DeFi,Yield,22285.378143753394,3,False,growth-defi
TopShelf,CDP,22198.923826861643,3,False,topshelf
Singular Farm,Yield,22107.01284300896,4,False,singular-farm
Cycle Finance,Yield Aggregator,21182.614543373358,1,True,cycle-finance
Waterfall DeFi,Yield Aggregator,19960.075689992962,2,False,waterfall-defi
Baguette,Dexs,19592.48292195686,1,True,baguette
Struct Finance,Yield,19348.04264363581,1,True,struct-finance
Stabilize,CDP,18996.607848837273,1,True,stabilize
Apex DeFi,Dexs,17642.055743845736,3,False,apex-defi
VaporDex V2,Dexs,17291.68702521279,3,False,vapordex-v2
Abacus,Governance Incentives,17124.646896851922,6,False,abacus
UniVoucher,Payments,16943.396381617564,7,False,univoucher
Gaj Finance,Yield,16734.358342280706,2,False,gaj-finance
Yel Finance,Yield,16322.561533085993,8,False,yel-finance
BooFinance,Yield,16089.157714047771,1,True,boofinance
Magic Square,Farm,15416.376319694657,5,False,magic-square
Coinscope,Token Locker,14398.63581255495,9,False,coinscope
dexVAULTS,Yield,14325.728078649961,8,False,dexvaults
Sherpa Cash,Privacy,13693.448682280574,1,True,sherpa-cash
Teddy Cash,CDP,13025.689339029801,1,True,teddy-cash
Vee Finance,Lending,12991.953713280096,2,False,vee-finance
FWX DEX,Dexs,12687.710119454381,2,False,fwx-dex
ThorusFi,Dexs,12657.906420689336,2,False,thorusfi
Aperture LM,Liquidity manager,12644.903785553539,2,False,aperture-lm
ETHA Lend,Yield,12101.863188788098,2,False,etha-lend
CavalRe,Dexs,11950.6451036066,1,True,cavalre
Antimatter,Options,11426.384085403353,5,False,antimatter
Kuu Finance,Dexs,11300.58012866533,1,True,kuu-finance
Stryke SSOV,Options,10712.490525740748,4,False,stryke-ssov
Router Protocol,Cross Chain Bridge,9863.43483933711,11,False,router-protocol
OrcaDAO,Lending,9461.535014753736,1,True,orcadao
Banksy Farm,Yield,9355.304663630619,1,True,banksy-farm
Hedgey,Payments,9280.29386135453,11,False,hedgey
SoliSnek Finance,Dexs,9217.002947201927,1,True,solisnek-finance
YetiSwap,Dexs,8976.993309325379,1,True,yetiswap
StormSwap,Yield,8807.415337101043,2,False,stormswap
Embr Finance,Dexs,8693.922566445654,1,True,embr-finance
Glacier Exchange V2,Dexs,8523.10553720076,1,True,glacier-exchange-v2
Spice Trade,Algo-Stables,8223.877784582794,4,False,spice-trade
Sweep,RWA,8147.27941395292,7,False,sweep
Archon Bridge,Bridge,7822.040345967006,3,False,archon-bridge
Magik Farm,Yield Aggregator,7753.738121695264,12,False,magik-farm
Moremoney,Lending,7483.856979152742,1,True,moremoney
Mozaic,Yield,7458.320940512892,6,False,mozaic
Brokkr Finance,Indexes,7048.59407831309,2,False,brokkr-finance
Omni Exchange V2,Dexs,6765.2851688268975,7,False,omni-exchange-v2
Alligator,Dexs,6579.781201844235,1,True,alligator
Baklava Space,Yield,6422.384635004974,4,False,baklava-space
UNO farm,Yield Aggregator,6322.31350000313,4,False,uno-farm
