model,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std,cv_brier_mean,oof_auc,oof_accuracy,oof_brier
rf,0.8961987219130076,0.059225813467023394,0.8011278195488721,0.04919061161061569,0.1308103666436612,0.8882397084048027,0.8014184397163121,0.13064748011313657
logreg,0.8869710712567855,0.04452568167634049,0.8156015037593984,0.04568936741171927,0.1348630866561346,0.8817538593481989,0.8156028368794326,0.13470995360364255
hgb,0.8807393664536523,0.050392555841609496,0.8224937343358396,0.06684838237922949,0.14975709639421586,0.8743567753001716,0.8226950354609929,0.14956075752796444
