stage,sample_size,event_rate,cv_auc_mean,cv_auc_std,oof_auc,oof_accuracy,oof_brier,best_model
stage1_v2_terminal_early_model,282,0.624113475177305,0.8961987219130076,0.059225813467023394,0.8882397084048027,0.8014184397163121,0.13064748011313657,rf
stage2_v2_live_mode_model,250,0.704,0.9992380952380951,0.0009331389496316617,0.999539312039312,0.988,0.02295563215976253,rf
