feature,rf_importance
log_end_tvl,0.123352295733437
drawdown_ratio,0.10089369513203311
log_median_tvl,0.07507082562595659
active_day_frac,0.06009396283388548
auc_norm,0.055522614049211244
archetype_gap,0.05045048453583344
log_peak_tvl,0.04871006090657217
rolling7_end_vs_peak,0.04436586421656788
archetype_decay_signal,0.043990517806289785
slope_total_log,0.0426054002829719
retention_ratio,0.033466417562029456
num_chains,0.032574387151328515
mean_log_ret,0.030493481586109095
decay_archetype_distance,0.02984518194575386
resilient_archetype_distance,0.024545395657483603
peak_to_median_log_gap,0.02444806519009535
peak_day_frac,0.023637543299689572
peak_day_ratio_by_span,0.021244853207101143
downside_log_ret,0.02007444313995841
slope_post_log,0.015295290036277767
rebound_15_count,0.014592088183787624
vol_log_ret,0.014565765987826523
lifecycle_days,0.014448504638562202
log_start_tvl,0.01437447024038684
stable_band_frac,0.014274890797971998
category_code,0.00932500790636339
avax_only,0.006938378307838541
crash_15_count,0.006672121736471315
nonzero_day_frac,0.0029493106177763064
launch_trim_days,0.0010278474949909305
data_points,0.00015083418943889908
data_quality_score,0.0
core_eligible,0.0
data_quality_score_v2,0.0
early_window_days_observed,0.0
migrated_candidate,0.0
