slug,name,category,avax_peak_tvl,avax_current_tvl,avax_start_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_lifespan_days,avax_consecutive_decline_days,avax_volatility_full,avax_history_days,history_source_mode,has_avax_history,has_total_history,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason
alligator,Alligator,Dexs,1234749.0,6834.0,207269.0,0.9944652718892666,0.03828041926173477,-0.18339307048984468,1500.0,763.0,3.4776712063150303,1501,avax_core,1,1,1501,6834.32627,6834.32627,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
amogus-dao,Amogus DAO,Reserve Currency,54036.0,44.0,54036.0,0.9991857280331631,0.0,0.0,1530.0,158.0,17.40391175171807,1531,avax_core,1,1,1531,44.52094,44.52094,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
anchor,Anchor,Lending,209981703.0,0.0,49783631.0,1.0,0.0,0.0,568.0,143.0,3.241942353488063,513,avax_core,1,1,848,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
angle,Angle,CDP,102942.0,97.0,14.0,0.9990577218239397,0.010309278350515464,-0.04854368932038835,1108.0,303.0,8.52300866001767,1109,avax_core,1,1,1587,97.36295,4513471.51062,4513374.14767,2.1571632782196424e-05,3.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
ankr,Ankr,Liquid Staking,1863867.0,125023.0,694773.0,0.9329227890187444,0.07282665591185632,-0.3637196425299758,1453.0,340.0,0.6454735145959201,1447,avax_core,1,1,1927,125023.93651,21392872.001259997,21267848.064749997,0.0058441866292023035,4.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
ante-finance,Ante Finance,Insurance,36192.0,5185.0,1158.0,0.8567362953138815,0.12470180004337454,-0.3376756066411239,1277.0,384.0,0.512795335107004,1278,avax_core,1,1,1634,5185.32134,407423.22209,402237.90075,0.012727112886203037,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
antfarm-finance,Antfarm finance,Liquidity Manager,733662.0,20585.0,42835.0,0.9719421204860004,0.07785747944918582,-0.7657114242141443,780.0,394.0,0.5655010387541806,781,avax_core,1,1,1075,20585.32287,450808.53594000003,430223.21307000006,0.04566311688636655,4.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
antimatter,Antimatter,Options,46638.0,5830.0,29623.0,0.8749946395643038,0.08181818181818182,-0.3426896629466802,1487.0,377.0,0.5277312245083783,1488,avax_core,1,1,1489,5830.56877,12187.61149,6357.0427199999995,0.47840126630094937,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
aperture-lm,Aperture LM,Liquidity Manager,3637993.0,12726.0,179786.0,0.9965019174033595,0.022495380412950912,-0.05900184842883549,1237.0,599.0,3.136452800244238,1238,avax_core,1,1,1442,12726.46322,12726.46322,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
apex-defi,Apex DeFi,Dexs,363254.0,16767.0,96135.0,0.9538422150891662,-0.11542519518885841,-0.48580190125728306,557.0,229.0,0.5917248120515256,558,avax_core,1,1,558,16767.59776,16881.0273,113.429540000001,0.9932806494543137,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
apex-pro,ApeX Pro,Derivatives,428840.0,0.0,149365.0,1.0,0.0,0.0,895.0,47.0,1.0496557206901174,896,avax_core,1,1,1264,0.0,1430470.27653,1430470.27653,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
