slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
atlantis-loans,Atlantis Loans,Lending,,atlantis-loans,4.0,0,4,dead,avax_core,1,1,362,669,2774.83427,2902.30833,127.47406000000001,0.9560783881290793,0.0,0.998356,1,core_eligible,
augmented-finance,Augmented Finance,Lending,,augmented-finance,4.0,0,4,dead,avax_core,1,1,902,1016,164.84803,326.6517,161.80367,0.5046599481955857,0.0,1.0,1,core_eligible,
aura,Aura,Yield,,aura-finance,9.0,0,9,alive,avax_core,1,1,704,1326,0.0,104295852.65085,104295852.65085,0.0,6.0,1.0,1,core_eligible,
autofarm,Autofarm,Yield Aggregator,,auto,20.0,0,20,alive,avax_core,1,1,1621,1810,59067.21786,5799888.08656,5740820.8686999995,0.010184199587725777,7.0,1.0,1,core_eligible,
avalaunch,Avalaunch,Dexs,,avalaunch,1.0,1,1,dead,avax_core,1,1,1661,1661,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
avalps,Avalps,Reserve Currency,,blanc,1.0,1,1,dead,avax_core,1,1,1531,1531,4131.17966,4131.17966,0.0,1.0,0.0,1.0,1,core_eligible,
avant-avbtc,Avant avBTC,Onchain Capital Allocator,parent#avant-protocol,,1.0,1,1,alive,avax_core,1,1,264,264,6348935.84094,6348935.84094,0.0,1.0,1.0,0.916986,1,core_eligible,
avant-avusd,Avant avUSD,Basis Trading,parent#avant-protocol,,1.0,1,1,alive,avax_core,1,1,291,291,112618657.2759,112618657.2759,0.0,1.0,1.0,0.939178,1,core_eligible,
avaviking,AvaViking,Yield,,,1.0,1,1,dead,avax_core,1,1,1532,1532,42.5051,42.5051,0.0,1.0,0.0,1.0,1,core_eligible,
avaware,Avaware,Yield,,avaware,1.0,1,1,dead,avax_core,1,1,1504,1504,143.54977,143.54977,0.0,1.0,0.0,1.0,1,core_eligible,
axial,Axial,Dexs,,axial-token,1.0,1,1,alive,avax_core,1,1,1574,1574,37337.00969,37337.00969,0.0,1.0,1.0,1.0,1,core_eligible,
baguette,Baguette,Dexs,,baguette,1.0,1,1,alive,avax_core,1,1,1785,1785,21289.50526,21289.50526,0.0,1.0,1.0,1.0,1,core_eligible,
baki,Baki,CDP,,,1.0,1,1,dead,avax_core,1,1,859,859,5961.75733,5961.75733,0.0,1.0,0.0,1.0,1,core_eligible,
baklava-space,Baklava Space,Yield,,baklava,4.0,0,4,dead,avax_core,1,1,929,929,6421.93652,6422.5463500000005,0.6098300000003292,0.9999050485637989,0.0,1.0,1,core_eligible,
balanced-exchange,Balanced Exchange,Dexs,parent#balanceddao,,11.0,0,11,alive,avax_core,1,1,690,1662,1693069.87654,3806305.74262,2113235.86608,0.44480658964999664,7.0,1.0,1,core_eligible,
balancer-v2,Balancer V2,Dexs,parent#balancer,,9.0,0,9,alive,avax_core,1,1,933,1765,130875.47206,44862485.86844,44731610.39638,0.0029172585853533516,9.0,1.0,1,core_eligible,
balancer-v3,Balancer V3,Dexs,parent#balancer,,9.0,0,8,alive,avax_core,1,1,335,453,739307.19042,96558868.42568001,95819561.23526001,0.007656543645072169,9.0,0.983562,1,core_eligible,
balmy,Balmy,DCA Tools,,,10.0,0,10,alive,avax_core,1,1,611,1651,44.08471,190891.74224000002,190847.65753000003,0.0002309408960423976,4.0,1.0,1,core_eligible,
banksy-farm,Banksy Farm,Yield,,,1.0,1,1,dead,avax_core,1,1,1531,1531,9371.94871,9371.94871,0.0,1.0,0.0,1.0,1,core_eligible,
baymax,BayMax,Derivatives,,,1.0,1,1,dead,avax_core,1,1,1157,1157,2.69078,2.69078,0.0,1.0,0.0,1.0,1,core_eligible,
beefy,Beefy,Yield Aggregator,,beefy-finance,40.0,0,40,alive,avax_core,1,1,1746,1746,1904221.41172,144605617.69734,142701396.28562,0.013168377840655825,26.0,1.0,1,core_eligible,
benqi-lending,Benqi Lending,Lending,parent#benqi,benqi,1.0,1,1,alive,avax_core,1,1,1663,1663,137329231.48634,137329231.48634,0.0,1.0,1.0,1.0,1,core_eligible,
benqi-staked-avax,Benqi Staked Avax,Liquid Staking,parent#benqi,,1.0,1,1,alive,avax_core,1,1,1481,1481,220728496.62846,220728496.62846,0.0,1.0,1.0,1.0,1,core_eligible,
