slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
fractal-protocol,Fractal Protocol,Yield,,,4.0,0,4,alive,avax_core,1,1,1234,1351,0.0,25661.869120000003,25661.869120000003,0.0,1.0,1.0,1,core_eligible,
frax-swap,Frax Swap,Dexs,parent#frax-finance,,10.0,0,10,alive,avax_core,1,1,1262,1263,212707.11762,13792200.622609999,13579493.504989998,0.015422275490345055,7.0,1.0,1,core_eligible,
freebie-life-finance,Freebie Life Finance,Yield Lottery,,freebie-life-finance,1.0,1,1,dead,avax_core,1,1,1193,1193,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
frost-finance,Frost Finance,Yield,,tundra-token,1.0,1,1,alive,avax_core,1,1,1569,1643,51801.28851,51801.28851,0.0,1.0,1.0,1.0,1,core_eligible,
frozen-walrus-finance,Frozen Walrus Finance,Algo-Stables,,walrus,1.0,1,1,dead,avax_core,1,1,1339,1339,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
futureswap,FutureSwap,Derivatives,,futureswap,3.0,0,3,dead,avax_core,1,1,1325,1814,0.0,10.40345,10.40345,0.0,0.0,1.0,1,core_eligible,
fwx-derivatives,FWX Derivatives,Derivatives,parent#fwx,,3.0,0,3,dead,avax_core,1,1,785,785,3554.45354,4177.17177,622.71823,0.8509234802187702,0.0,1.0,1,core_eligible,
fwx-dex,FWX DEX,Dexs,parent#fwx,,2.0,0,2,alive,avax_core,1,1,578,578,862.96093,12711.06165,11848.10072,0.06789054712829592,1.0,1.0,1,core_eligible,
gaia-dao,Gaia DAO,Reserve Currency,,gaia-dao,1.0,1,1,dead,avax_core,1,1,1507,1507,4.80762,4.80762,0.0,1.0,0.0,1.0,1,core_eligible,
gaj-finance,Gaj Finance,Yield,,gaj,2.0,0,2,alive,total_only,0,1,0,1531,0.0,17625.54822,17625.54822,0.0,1.0,0.25,0,boundary_excluded,no_avax_core_history_total_only
galaxygoogle-dao,GalaxyGoogle DAO,Reserve Currency,,galaxygoogle-dao,2.0,0,2,dead,avax_core,1,1,634,634,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
gamma,Gamma,Liquidity Manager,,gamma-strategies,36.0,0,36,alive,avax_core,1,1,871,1568,1105.23802,4745298.17486,4744192.93684,0.00023291223844592397,15.0,1.0,1,core_eligible,
genius,Genius,Yield,,genius,5.0,0,5,dead,avax_core,1,1,1105,1105,1.38399,22.85049,21.4665,0.06056719133812886,0.0,1.0,1,core_eligible,
geode,Geode,Liquid Staking,,,1.0,1,1,alive,avax_core,1,1,1258,1258,471862.54128,471862.54128,0.0,1.0,1.0,1.0,1,core_eligible,
glacier-exchange-v2,Glacier Exchange V2,Dexs,parent#glacier-finance,,1.0,1,1,dead,avax_core,1,1,1073,1073,8498.89125,8498.89125,0.0,1.0,0.0,1.0,1,core_eligible,
glacier-exchange-v3,Glacier Exchange V3,Dexs,parent#glacier-finance,,1.0,1,1,dead,avax_core,1,1,891,891,2293.14073,2293.14073,0.0,1.0,0.0,1.0,1,core_eligible,
gmd-protocol,GMD Protocol,Yield Aggregator,,gmd-protocol,2.0,0,2,alive,avax_core,1,1,991,1232,229116.58088,827256.59687,598140.01599,0.27695950899259464,2.0,1.0,1,core_eligible,
gmx-v1-perps,GMX V1 Perps,Derivatives,parent#gmx,,2.0,0,2,alive,avax_core,1,1,1542,1650,1910667.10216,3181053.59406,1270386.4919,0.6006397080916209,2.0,1.0,1,core_eligible,
gmx-v2-perps,GMX V2 Perps,Derivatives,parent#gmx,,3.0,0,3,alive,avax_core,1,1,943,943,11052033.42784,257911989.53009,246859956.10225,0.04285195677787823,3.0,1.0,1,core_eligible,
goldlink,GoldLink,Leveraged Farming,,,2.0,0,2,dead,avax_core,1,1,552,595,15.03124,3031.25947,3016.22823,0.004958744095898858,0.0,1.0,1,core_eligible,
goldstation-dex-v3,GOLDSTATION DEX V3,Dexs,parent#goldstation,,1.0,1,1,alive,avax_core,1,1,426,426,59953.39763,59953.39763,0.0,1.0,1.0,1.0,1,core_eligible,
gondola-finance,Gondola Finance,Dexs,,gondola-finance,1.0,1,1,dead,avax_core,1,1,1777,1777,65.95341,65.95341,0.0,1.0,0.0,1.0,1,core_eligible,
granary-finance,Granary Finance,Lending,,granary,8.0,0,8,alive,avax_core,1,1,1368,1463,2591.69677,156063.74323,153472.04645999998,0.01660665518050832,2.0,1.0,1,core_eligible,
grape-finance,Grape Finance,Algo-Stables,,grape-finance,1.0,1,1,dead,avax_core,1,1,1509,1509,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
grave-finance,Grave Finance,Algo-Stables,,,1.0,1,1,dead,avax_core,1,1,1468,1468,389.60198,389.60198,0.0,1.0,0.0,1.0,1,core_eligible,
grim-finance,Grim Finance,Yield,,grimtoken,6.0,0,6,alive,avax_core,1,1,1092,1648,20.97878,23590.67248,23569.6937,0.0008892828306520578,1.0,1.0,1,core_eligible,
gro,Gro,Yield,,gro-dao-token,2.0,0,2,alive,avax_core,1,1,1546,1744,25556.72398,1782383.23863,1756826.51465,0.014338512294159453,2.0,1.0,1,core_eligible,
growth-defi,Growth DeFi,Yield,,growth-defi,3.0,0,3,alive,avax_core,1,1,1586,1858,22316.64657,22316.64747,0.0008999999990919605,0.9999999596713619,1.0,1.0,1,core_eligible,
guru-network-classic,Guru Network Classic,Yield,parent#guru-network-dao,,10.0,0,10,alive,avax_core,1,1,1050,1484,68.96964,3233053.02213,3232984.05249,2.133266591296465e-05,3.0,1.0,1,core_eligible,
gyroscope-protocol,Gyroscope Protocol,Dexs,,gyroscope-gyd,10.0,0,10,alive,avax_core,1,1,358,1107,15900.19508,1808656.58989,1792756.39481,0.00879116310353146,9.0,0.996164,1,core_eligible,
hakuswap,HakuSwap,Dexs,,hakuswap,1.0,1,1,alive,avax_core,1,1,1515,1515,26074.3556,26074.3556,0.0,1.0,1.0,1.0,1,core_eligible,
hashflow,Hashflow,DEX Aggregator,,hashflow,6.0,0,6,alive,avax_core,1,1,1382,1382,10243.31852,582462.77663,572219.45811,0.017586219980039862,5.0,1.0,1,core_eligible,
hedgefarm,HedgeFarm,Yield,,,1.0,1,1,alive,avax_core,1,1,1237,1237,36363.84572,36363.84572,0.0,1.0,1.0,1.0,1,core_eligible,
hermes-finance,Hermes Finance,Algo-Stables,,hermes,1.0,1,1,dead,avax_core,1,1,1517,1517,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
homora-v2,Homora V2,Leveraged Farming,,,5.0,0,5,alive,avax_core,1,1,1484,1854,397914.70785,110273717.07445998,109875802.36660999,0.003608427451314773,5.0,1.0,1,core_eligible,
honeyfarm,HoneyFarm,Yield,,honeybee,2.0,0,2,dead,avax_core,1,1,1544,1544,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
hot-takes,Hot Takes,SoFi,,,1.0,1,1,dead,avax_core,1,1,851,851,612.98383,612.98383,0.0,1.0,0.0,1.0,1,core_eligible,
hubble-exchange,Hubble Exchange,Derivatives,,,1.0,1,1,alive,avax_core,1,1,1309,1309,78486.07253,78486.07253,0.0,1.0,1.0,1.0,1,core_eligible,
hunnyswap,HunnySwap,Dexs,,,1.0,1,1,alive,avax_core,1,1,1347,1347,58957.31232,58957.31232,0.0,1.0,1.0,1.0,1,core_eligible,
hurricaneswap,HurricaneSwap,Dexs,,hurricaneswap-token,1.0,1,1,alive,avax_core,1,1,1610,1610,39636.86462,39636.86462,0.0,1.0,1.0,1.0,1,core_eligible,
hypha,Hypha,Liquid Staking,,gogopool,1.0,1,1,alive,avax_core,1,1,983,983,21940600.24524,21940600.24524,0.0,1.0,1.0,1.0,1,core_eligible,
ice-dao,Ice DAO,Reserve Currency,,ice-dao,1.0,1,1,dead,avax_core,1,1,1548,1548,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
icecream-finance,IceCream Finance,Algo-Stables,,icecream-finance,1.0,1,1,dead,avax_core,1,1,1496,1496,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
impermax-v2,Impermax V2,Lending,parent#impermax-finance,,15.0,0,15,alive,avax_core,1,1,1562,1796,90752.9117,756979.99073,666227.0790299999,0.11988812493244592,7.0,1.0,1,core_eligible,
impossible-finance,Impossible Finance,Launchpad,,idia,7.0,0,7,alive,avax_core,1,1,1291,1566,2.19031,174099.92435000002,174097.73404,1.2580763651549514e-05,1.0,1.0,1,core_eligible,
incognito,Incognito,Dexs,,,5.0,0,5,dead,avax_core,1,1,711,711,58.50671,127.11726,68.61055,0.4602577966202229,0.0,1.0,1,core_eligible,
insurace,InsurAce,Insurance,,insurace,4.0,0,4,alive,avax_core,1,1,1616,1733,10166.12817,136311.94272,126145.81455,0.0745798788216405,4.0,1.0,1,core_eligible,
ipor-fusion,IPOR Fusion,Yield Aggregator,,,,0,8,alive,fetch_failed,0,0,0,0,,,,,,0.0,0,data_incomplete,protocol_fetch_failed
iron-bank,Iron Bank,Lending,,iron-bank,4.0,0,4,alive,avax_core,1,1,1507,1507,55547.11427,213607.74886,158060.63459,0.2600425994208944,4.0,1.0,1,core_eligible,
iron-finance,Iron Finance,CDP,,iron-stablecoin,3.0,0,3,alive,avax_core,1,1,1642,1700,29.83632,315821.01045,315791.17413,9.447224539459071e-05,1.0,1.0,1,core_eligible,
jarvis-network,Jarvis Network,Derivatives,,jarvis-reward-token,6.0,0,6,alive,avax_core,1,1,1103,1781,322.92685,292517.80882,292194.88197,0.0011039562045903064,1.0,1.0,1,core_eligible,
joe-dex,Joe DEX,Dexs,parent#trader-joe,,4.0,0,4,alive,avax_core,1,1,1658,1658,13418789.2844,13490807.7557,72018.47130000032,0.994661663511618,3.0,1.0,1,core_eligible,
joe-lend,Joe Lend,Lending,parent#trader-joe,,1.0,1,1,alive,avax_core,1,1,1255,1255,2379149.50193,2379149.50193,0.0,1.0,1.0,1.0,1,core_eligible,
joe-stek,Joe Stek,Farm,parent#trader-joe,,1.0,1,1,alive,avax_core,1,1,709,709,40194.23967,40194.23967,0.0,1.0,1.0,1.0,1,core_eligible,
joe-v2,Joe V2,Dexs,parent#trader-joe,,3.0,0,3,alive,avax_core,1,1,1208,1208,98173.04326,165505.88796000002,67332.84470000002,0.5931694906451109,2.0,1.0,1,core_eligible,
joe-v2.1,Joe V2.1,Dexs,parent#trader-joe,,4.0,0,4,alive,avax_core,1,1,1067,1067,2773204.2633,3975091.05464,1201886.79134,0.6976454690422563,3.0,1.0,1,core_eligible,
joe-v2.2,Joe V2.2,Dexs,parent#trader-joe,,3.0,0,3,alive,avax_core,1,1,627,627,27538439.05425,30325538.474669997,2787099.4204199985,0.90809398412668,3.0,1.0,1,core_eligible,
k3-capital,K3 Capital,Risk Curators,,,7.0,0,7,alive,avax_core,1,1,889,889,16030519.21008,218277051.91457,202246532.70449,0.07344115686679732,6.0,1.0,1,core_eligible,
kalmy-app,Kalmy App,Yield,,kalmar,3.0,0,3,alive,avax_core,1,1,1349,1494,0.0,32795.44231,32795.44231,0.0,1.0,1.0,1,core_eligible,
kandyland-finance,Kandyland Finance,Reserve Currency,,kandy,1.0,1,1,dead,avax_core,1,1,600,600,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
karma-dao,Karma DAO,Reserve Currency,,karma-dao,1.0,1,1,dead,avax_core,1,1,1521,1521,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
kassandra-dao,Kassandra DAO,Indexes,,kassandra,2.0,0,2,dead,avax_core,1,1,1491,1491,691.58966,854.1287599999999,162.53909999999996,0.809701876798997,0.0,1.0,1,core_eligible,
kayak-v2,Kayak V2,Dexs,parent#kayak,,2.0,0,2,dead,avax_core,1,1,616,616,844.65023,844.65023,0.0,1.0,0.0,1.0,1,core_eligible,
kewl-exchange,KEWL EXCHANGE,Dexs,,kewl-exchange,6.0,0,6,alive,avax_core,1,1,360,739,0.28538,31640.554930000002,31640.26955,9.019437258017776e-06,1.0,0.99726,1,core_eligible,
keyring,Keyring,Risk Curators,,,1.0,1,1,alive,avax_core,1,1,221,221,6224534.89963,6224534.89963,0.0,1.0,1.0,0.881644,1,core_eligible,
kine-finance,Kine Finance,Yield,,kine-protocol,4.0,0,4,alive,avax_core,1,1,1487,1808,966.0513,1013591.70962,1012625.6583199999,0.0009530970812322221,2.0,1.0,1,core_eligible,
kitty-finance,Kitty Finance,Algo-Stables,,kitty-finance,2.0,0,2,dead,avax_core,1,1,1535,1535,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
kuu-finance,Kuu Finance,Dexs,,,1.0,1,1,alive,avax_core,1,1,749,749,11300.58013,11300.58013,0.0,1.0,1.0,1.0,1,core_eligible,
kyberswap-classic,KyberSwap Classic,Dexs,parent#kyberswap,,15.0,0,15,alive,avax_core,1,1,1634,1947,69499.49861,1038016.88744,968517.38883,0.06695411168252043,7.0,1.0,1,core_eligible,
kyberswap-elastic,KyberSwap Elastic,Dexs,parent#kyberswap,,11.0,0,11,alive,avax_core,1,1,1037,1037,386.80603,120669.15507000001,120282.34904,0.003205508729845787,4.0,1.0,1,core_eligible,
lagoon,Lagoon,Onchain Capital Allocator,,,16.0,0,16,alive,avax_core,1,1,230,441,4435506.59678,122856655.33546002,118421148.73868002,0.03610310393579291,8.0,0.926027,1,core_eligible,
lama-miner,Lama Miner,Ponzi,,lama,1.0,1,1,dead,avax_core,1,1,689,689,0.08135,0.08135,0.0,1.0,0.0,1.0,1,core_eligible,
leech-protocol,Leech Protocol,Yield Aggregator,,,3.0,0,3,dead,avax_core,1,1,899,899,9.46296,3503.12041,3493.65745,0.002701294529581985,0.0,1.0,1,core_eligible,
life-dao,Life DAO,Reserve Currency,,life-dao,1.0,1,1,dead,avax_core,1,1,1552,1552,69.50376,69.50376,0.0,1.0,0.0,1.0,1,core_eligible,
louverture,Louverture,Yield,,louverture,1.0,1,1,dead,avax_core,1,1,614,614,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
lydia,Lydia,Dexs,,lydia-finance,1.0,1,1,alive,avax_core,1,1,1783,1783,49559.26902,49559.26902,0.0,1.0,1.0,1.0,1,core_eligible,
magic-square,Magic Square,Farm,,magic-square,5.0,0,5,alive,avax_core,1,1,161,161,335.618,11833.71457,11498.09657,0.02836117079001002,1.0,0.832329,1,core_eligible,
magik-farm,Magik Farm,Yield Aggregator,parent#magik-finance,,12.0,0,12,dead,avax_core,1,1,1300,1300,2969.78172,3762.76933,792.9876100000001,0.7892542591761796,0.0,1.0,1,core_eligible,
magnet-dao,Magnet DAO,Algo-Stables,,magnet-dao,1.0,1,1,dead,avax_core,1,1,1525,1525,0.65951,0.65951,0.0,1.0,0.0,1.0,1,core_eligible,
marginswap,MarginSwap,Dexs,,marginswap,4.0,0,4,dead,avax_core,1,1,610,610,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
maximizer,Maximizer,Reserve Currency,,maximizer,1.0,1,1,dead,avax_core,1,1,646,646,0.45728,0.45728,0.0,1.0,0.0,1.0,1,core_eligible,
meow-miner,Meow Miner,Ponzi,,,1.0,1,1,dead,avax_core,1,1,725,725,0.0351,0.0351,0.0,1.0,0.0,1.0,1,core_eligible,
mev-capital,MEV Capital,Risk Curators,,,11.0,0,11,alive,avax_core,1,1,412,412,231138997.8761,326406161.66052,95267163.78442001,0.7081330716927366,9.0,1.0,1,core_eligible,
midasdao,MidasDAO,Reserve Currency,,midasdao,1.0,1,1,dead,avax_core,1,1,637,637,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
mint-club-v2,Mint Club V2,Launchpad,parent#mint-club,,13.0,0,13,alive,avax_core,1,1,709,709,521.6434,730120.6565699999,729599.0131699999,0.0007144619116114376,5.0,1.0,1,core_eligible,
mintswap,MintSwap,Farm,,mintswap,1.0,1,1,dead,avax_core,1,1,1570,1570,1231.18523,1231.18523,0.0,1.0,0.0,1.0,1,core_eligible,
monocerus,Monocerus,Dexs,,,2.0,0,2,dead,avax_core,1,1,878,878,198.00357,202.82513,4.821560000000005,0.9762279950221158,0.0,1.0,1,core_eligible,
monroe-protocol,Monroe Protocol,CDP,,,3.0,0,3,dead,avax_core,1,1,681,728,3911.35342,5008.26052,1096.9071,0.7809804231190434,0.0,1.0,1,core_eligible,
moremoney,Moremoney,Lending,,more-token,1.0,1,1,dead,avax_core,1,1,1449,1449,7473.88535,7473.88535,0.0,1.0,0.0,1.0,1,core_eligible,
mozaic,Mozaic,Yield,,mozaic,6.0,0,6,dead,avax_core,1,1,902,902,1189.0275,7439.87036,6250.84286,0.15981830898462052,0.0,1.0,1,core_eligible,
multi-chain-miner,Multi-Chain Miner,Ponzi,,,4.0,0,4,dead,avax_core,1,1,1609,1609,0.10531,2.94466,2.83935,0.03576304225275584,0.0,1.0,1,core_eligible,
multipli.fi,Multipli.fi,Yield,,,5.0,0,4,alive,avax_core,1,1,206,360,15715.89281,342521093.07653004,342505377.18372005,4.588299269058029e-05,5.0,0.911507,1,core_eligible,
mushrooms-finance,Mushrooms Finance,Yield Aggregator,,mm-token,5.0,0,5,alive,avax_core,1,1,1429,1883,15189.59023,28540.8594,13351.269170000001,0.5322050754365161,1.0,1.0,1,core_eligible,
mux-perps,MUX Perps,Derivatives,parent#mux-protocol,,5.0,0,5,alive,avax_core,1,1,1219,1219,389034.60012,8962580.097199999,8573545.497079998,0.04340654096263401,4.0,1.0,1,core_eligible,
napier,Napier,Yield,,,11.0,0,11,alive,avax_core,1,1,360,615,0.0,298243.87330000004,298243.87330000004,0.0,1.0,0.99726,1,core_eligible,
native-swap,Native Swap,Dexs,parent#native,,9.0,0,9,dead,avax_core,1,1,913,1064,1.8334,4513.66949,4511.83609,0.00040618835828850193,0.0,1.0,1,core_eligible,
nereus-finance,Nereus Finance,Lending,,wirex,1.0,1,1,alive,avax_core,1,1,1473,1473,73744.42467,73744.42467,0.0,1.0,1.0,1.0,1,core_eligible,
nested,Nested,Indexes,,,6.0,0,6,alive,avax_core,1,1,1434,1434,5684.09007,140517.97454999998,134833.88447999998,0.04045098207686912,4.0,1.0,1,core_eligible,
noaharkdao,NoahArkDAO,Reserve Currency,,noahark,1.0,1,1,dead,avax_core,1,1,1504,1504,15.54072,15.54072,0.0,1.0,0.0,1.0,1,core_eligible,
nodo,NODO,Prediction Market,,,5.0,0,5,dead,avax_core,1,1,425,425,0.00833,0.84549,0.83716,0.009852275012123149,0.0,1.0,1,core_eligible,
nord-finance,Nord Finance,Yield Aggregator,,nord-finance,3.0,0,3,dead,avax_core,1,1,1419,1419,101.40761,5071.34697,4969.939359999999,0.019996188507685565,0.0,1.0,1,core_eligible,
north-pole,North Pole,CDP,,north,1.0,1,1,dead,avax_core,1,1,1406,1406,698.50267,698.50267,0.0,1.0,0.0,1.0,1,core_eligible,
o2-dao,O2 DAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,1553,1553,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
oddz,Oddz,Options,,oddz,2.0,0,2,alive,avax_core,1,1,1481,1562,59193.24177,59199.59287,6.35109999999986,0.9998927171676003,1.0,1.0,1,core_eligible,
oh-finance,Oh Finance,Yield,,oh-finance,4.0,0,4,dead,avax_core,1,1,1547,1547,2666.23988,3036.08206,369.8421800000001,0.878184392684037,0.0,1.0,1,core_eligible,
olive-cash,Olive Cash,Yield,,olivecash,3.0,0,3,alive,avax_core,1,1,1772,1772,24472.93823,93670.39174,69197.45351,0.26126653017454327,3.0,1.0,1,core_eligible,
omni-exchange-flux,Omni Exchange Flux,Dexs,parent#omni-exchange,,7.0,0,7,dead,avax_core,1,1,236,236,13.36378,718.7416499999999,705.3778699999999,0.018593301223047254,0.0,0.893973,1,core_eligible,
omni-exchange-v2,Omni Exchange V2,Dexs,parent#omni-exchange,,7.0,0,7,dead,avax_core,1,1,231,231,8.4203,4710.273810000001,4701.853510000001,0.001787645546660906,0.0,0.889863,1,core_eligible,
omni-exchange-v3,Omni Exchange V3,Dexs,parent#omni-exchange,,7.0,0,7,alive,avax_core,1,1,236,236,46.01505,26536.18533,26490.17028,0.00173404916448102,1.0,0.893973,1,core_eligible,
omnibtc,OmniBTC,Lending,,,8.0,0,8,alive,avax_core,1,1,875,933,0.00307,1908706.7100999998,1908706.7070299997,1.6084189277247096e-09,1.0,1.0,1,core_eligible,
onavax,onAVAX,Dexs,,,1.0,1,1,dead,avax_core,1,1,1329,1329,355.91184,355.91184,0.0,1.0,0.0,1.0,1,core_eligible,
onx-finance,OnX Finance,Yield Aggregator,,onx-finance,4.0,0,4,alive,avax_core,1,1,1462,1820,0.0,249382.94039,249382.94039,0.0,1.0,1.0,1,core_eligible,
openocean,OpenOcean,DEX Aggregator,,openocean,8.0,0,8,alive,avax_core,1,1,1582,1632,10310.59911,155393.55294,145082.95382999998,0.06635152433885781,3.0,1.0,1,core_eligible,
opyn-gamma,Opyn Gamma,Options,parent#opyn,,3.0,0,3,alive,avax_core,1,1,1849,1873,19499.67083,941674.5347099999,922174.86388,0.020707442020830646,2.0,1.0,1,core_eligible,
orcadao,OrcaDAO,Lending,,orcadao,1.0,1,1,dead,avax_core,1,1,1608,1608,9056.16498,9056.16498,0.0,1.0,0.0,1.0,1,core_eligible,
ordernchaos,OrderNChaos,Algo-Stables,,chaos,5.0,0,5,alive,avax_core,1,1,1323,1323,14673.61689,60548.262480000005,45874.64559000001,0.24234579637767334,2.0,1.0,1,core_eligible,
pangolin-v2,Pangolin V2,Dexs,parent#pangolin,,4.0,0,4,alive,avax_core,1,1,1769,1769,1805793.90713,1846483.06464,40689.15751000005,0.9779639692942794,2.0,1.0,1,core_eligible,
pangolin-v3,Pangolin V3,Dexs,parent#pangolin,,2.0,0,2,alive,avax_core,1,1,217,217,403573.52605,419560.87598,15987.349930000026,0.9618950411125509,2.0,0.878356,1,core_eligible,
papa-dao,Papa DAO,Reserve Currency,,papa-dao,1.0,1,1,dead,avax_core,1,1,1548,1548,7.62014,7.62014,0.0,1.0,0.0,1.0,1,core_eligible,
parallel-protocol-v3,Parallel Protocol V3,CDP,parent#parallel-protocol,,5.0,0,5,alive,avax_core,1,1,174,223,2135857.78317,3206678.9540500003,1070821.17088,0.6660653635040188,4.0,0.856438,1,core_eligible,
partyswap,PartySwap,Dexs,,party-v2,1.0,1,1,dead,avax_core,1,1,1555,1555,4445.55758,4445.55758,0.0,1.0,0.0,1.0,1,core_eligible,
pendle,Pendle,Yield,,pendle,11.0,0,11,alive,avax_core,1,1,1573,1699,52546.62706,2149026798.77143,2148974252.14437,2.4451359606143678e-05,11.0,1.0,1,core_eligible,
penguin-finance,Penguin Finance,Yield,,penguin-finance,1.0,1,1,alive,avax_core,1,1,1696,1787,88332.7646,88332.7646,0.0,1.0,1.0,1.0,1,core_eligible,
pharaoh-cl,Pharaoh CL,Dexs,parent#pharaoh-exchange,,1.0,1,1,alive,avax_core,1,1,815,815,6313986.75455,6313986.75455,0.0,1.0,1.0,1.0,1,core_eligible,
pharaoh-legacy,Pharaoh Legacy,Dexs,parent#pharaoh-exchange,,1.0,1,1,alive,avax_core,1,1,727,727,3486041.87088,3486041.87088,0.0,1.0,1.0,1.0,1,core_eligible,
pharaoh-v3,Pharaoh V3,Dexs,parent#pharaoh-exchange,,1.0,1,1,alive,avax_core,1,1,147,147,29598842.50312,29598842.50312,0.0,1.0,1.0,0.820822,1,core_eligible,
pharaoh-v3-legacy,Pharaoh V3 Legacy,Dexs,parent#pharaoh-exchange,,1.0,1,1,alive,avax_core,1,1,147,147,1139551.65045,1139551.65045,0.0,1.0,1.0,0.820822,1,core_eligible,
phuture,Phuture,Indexes,,phuture,2.0,0,2,alive,avax_core,1,1,1268,1362,858275.15935,861499.41787,3224.258520000032,0.99625738746525,1.0,1.0,1,core_eligible,
piggy-finance,Piggy Finance,Yield,,piggy-finance,1.0,1,1,dead,avax_core,1,1,616,616,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
piggybank-dao,Piggybank DAO,Reserve Currency,,piggy-bank,1.0,1,1,dead,avax_core,1,1,655,655,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
pinksale,PinkSale,Launchpad,,pinksale,6.0,0,6,alive,avax_core,1,1,1281,1281,55242.96014,165799955.11686,165744712.15672,0.00033319044086027263,5.0,1.0,1,core_eligible,
piratedao,PirateDAO,Reserve Currency,,piratedao,1.0,1,1,dead,avax_core,1,1,1533,1533,800.67862,800.67862,0.0,1.0,0.0,1.0,1,core_eligible,
platypus-finance,Platypus Finance,Dexs,,platypus-finance,1.0,1,1,alive,avax_core,1,1,1561,1561,46567.27869,46567.27869,0.0,1.0,1.0,1.0,1,core_eligible,
ploutos-money,Ploutos Money,Lending,,,9.0,0,9,alive,avax_core,1,1,9,152,10576.20272,18055.375659999998,7479.172939999999,0.5857647561125294,1.0,0.746575,1,core_eligible,
polar-bear-finance,Polar Bear Finance,Algo-Stables,,,1.0,1,1,dead,avax_core,1,1,1457,1457,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
poolside,Poolside,Dexs,,,4.0,0,4,alive,avax_core,1,1,872,872,199.14263,37544.03495,37344.89232,0.00530424154636581,1.0,1.0,1,core_eligible,
pooltogether-v4,PoolTogether V4,Yield Lottery,parent#pooltogether,,4.0,0,4,alive,avax_core,1,1,866,866,16032.46694,752539.11728,736506.65034,0.02130449643328606,4.0,1.0,1,core_eligible,
poolz-vesting,Poolz Vesting,Launchpad,parent#poolz-finance,,11.0,0,11,dead,avax_core,1,1,172,576,0.0,18899.81432,18899.81432,0.0,1.0,0.894247,1,core_eligible,
prime-protocol,Prime Protocol,Lending,,,9.0,0,9,alive,avax_core,1,1,1027,1027,32166.41056,375150.93450999993,342984.52394999994,0.0857425841202125,8.0,1.0,1,core_eligible,
printyfinance,printyfinance,Dexs,,,1.0,1,1,dead,avax_core,1,1,1052,1052,1186.89352,1186.89352,0.0,1.0,0.0,1.0,1,core_eligible,
projectx,ProjectX,Yield,,project-x-nodes,1.0,1,1,dead,avax_core,1,1,572,572,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
pumpspace,PumpSpace,Dexs,,,0.0,1,1,alive,avax_core,1,1,123,123,1231513.0,1231513.0,0.0,1.0,1.0,0.801096,1,core_eligible,
pyreswap,PyreSwap,Dexs,,,3.0,0,3,alive,avax_core,1,1,714,714,5981.59895,36919.88829,30938.289340000003,0.16201562970655453,2.0,1.0,1,core_eligible,
qidao,QiDao,CDP,,qi-dao,14.0,0,14,alive,avax_core,1,1,1573,1770,132867.71223,3092526.83307,2959659.12084,0.04296412590803622,8.0,1.0,1,core_eligible,
r-u-generous,R U Generous,Reserve Currency,,r-u-generous,1.0,1,1,dead,avax_core,1,1,1561,1561,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
radioshack,RadioShack,Dexs,,radioshack,8.0,0,8,alive,avax_core,1,1,1432,1432,113512.26109,510975.74986000004,397463.48877000005,0.22214803955197623,4.0,1.0,1,core_eligible,
ragnarokdao,RagnarokDAO,Reserve Currency,,ragnarokdao,1.0,1,1,dead,avax_core,1,1,1542,1542,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
ramp,Ramp,CDP,,ramp,4.0,0,4,dead,avax_core,1,1,1287,1449,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
re7-labs,Re7 Labs,Risk Curators,,,15.0,0,15,alive,avax_core,1,1,412,412,20037875.99299,103242463.05899,83204587.066,0.1940856058571645,13.0,1.0,1,core_eligible,
