launch_trim_days,lifecycle_days,early_window_days_observed,data_points,log_start_tvl,log_peak_tvl,log_end_tvl,log_median_tvl,retention_ratio,drawdown_ratio,peak_day_frac,peak_day_ratio_by_span,auc_norm,slope_total_log,slope_post_log,vol_log_ret,mean_log_ret,downside_log_ret,crash_15_count,rebound_15_count,nonzero_day_frac,active_day_frac,stable_band_frac,rolling7_end_vs_peak,peak_to_median_log_gap,slug,name,category,current_status,structural_decay_label_v2,structural_decay_target_v2,history_source_mode,data_quality_score_v2,core_eligible,core_universe_status
0.0,1860.0,90.0,91.0,4.8283137373023015,17.954397545313903,16.237502523033978,16.224555981597867,0.17963607238624937,0.8203770046938166,0.4888888888888889,0.4888888888888889,0.9126364420515942,0.00013797904241699278,0.0014738730975123369,0.8817885829695304,0.1036527527079862,0.1775129388904926,3.0,14.0,1.0,0.989010989010989,0.8681318681318682,0.9102208393839634,1.729841563716036,0.exchange,0.exchange,Dexs,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
3.0,1192.0,90.0,91.0,11.89097141350137,12.427105971885023,10.731537060559845,11.89097141350137,0.1867514133316299,0.8165084658799384,0.2,0.2,0.9408882068658472,-0.016455153724748053,-0.02447278259708923,0.08511451048243962,-0.012882603921572509,0.05920245294577593,5.0,2.0,1.0,1.0,0.6593406593406593,0.8725236882246226,0.5361345583836528,0x-nodes,0x NODES,Yield Aggregator,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1051.0,90.0,91.0,0.0,0.6931471805599453,0.0,0.0,0.999000999000999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6931471805599453,2pi-network,2Pi Network,Yield,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,236.0,90.0,91.0,13.84980569884023,15.667292899366307,14.75413326465611,15.014023685340774,0.40134827038349924,0.5987456923099138,0.07777777777777778,0.07777777777777778,0.9566881451896072,0.0036399144560927688,0.0008486330742349795,0.13070853092061005,0.010048084064620887,0.07005270524368844,4.0,5.0,1.0,1.0,0.8901098901098901,0.9746238598135246,0.6532692140255332,40-acres,40 Acres,Lending,active_on_avax,censored,,avax_core,0.929863,1,core_eligible
0.0,1604.0,90.0,87.0,8.698013622083925,8.870382066070137,5.948034989180646,6.139884552226255,0.1702599482567451,0.9463256990304904,0.38372093023255816,0.36666666666666664,0.7979083762992064,-0.04410553476328275,-0.003411368934755947,0.2116347673850076,-0.02080533538103145,0.21027823679728538,1.0,0.0,1.0,0.0,0.6091954022988506,0.6711912119839052,2.730497513843882,88mph,88mph,Lending,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
14.0,1615.0,90.0,91.0,20.24954059668939,22.022530888370426,21.891990073501837,21.847264615465157,0.8776207055887171,0.12237932778805262,0.5555555555555556,0.5555555555555556,0.9865633780712276,0.008120646835367637,-0.0022413960390409433,0.07491011848444197,0.018249438631249424,0.019986241911862462,0.0,2.0,1.0,1.0,0.7912087912087912,0.9946300808351719,0.17526627290526875,aave-v2,Aave V2,Lending,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
3.0,1452.0,90.0,91.0,13.20678540492022,21.06418761679434,20.619436529501826,20.630345825213222,0.6409840602376328,0.35901619506381854,0.9444444444444444,0.9444444444444444,0.8855948154762028,0.09135733932708899,-0.09471077975504676,0.39986995045817214,0.08236279027312896,0.04965532024907791,3.0,7.0,1.0,1.0,0.6263736263736264,0.9940343523343753,0.43384179158111635,aave-v3,Aave V3,Lending,active_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,559.0,90.0,91.0,13.834438292849756,15.655889224366785,15.655889224366785,14.252307006471986,1.0,0.0,1.0,1.0,0.9145540923706474,0.020114304867667455,0.0,0.08257037917646042,0.020238343683522547,0.03568719581402442,0.0,9.0,1.0,1.0,0.6923076923076923,1.0,1.4035822178947992,abacus,Abacus,Governance Incentives,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
133.0,1255.0,90.0,91.0,2.995732273553991,11.213292261398694,11.207635954031296,7.246368080102461,0.9944346807264206,0.005640416689156366,0.9888888888888889,0.9888888888888889,0.6914946506758592,0.10955383538014105,0.0,0.22903541496544028,0.04776534638573418,0.06400789094100286,3.0,10.0,1.0,0.45054945054945056,0.37362637362637363,1.0,3.966924181296233,aboard-exchange,Aboard Exchange,Derivatives,low_tvl_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,1632.0,90.0,90.0,13.99106426443749,20.13957616728594,20.121146825089173,19.266521358787127,0.9817394723951534,0.018260560339407938,0.9550561797752809,0.9555555555555556,0.9214905505280467,0.05812424154679657,0.00433718891374113,0.3419058138319675,0.06887733214215375,0.047803565623084986,3.0,13.0,1.0,1.0,0.8444444444444444,1.0,0.8748146711343061,abracadabra-spell,Abracadabra Spell,CDP,active_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
